dt,experiment_group_name,dt_new_uuid,total_ab_uuid,register_uv,order_uv,orders,drinks,revenue
2026-06-01,control,76,3197,58,39,41,49,149.18
2026-06-01,variant1,96,3109,74,44,46,57,180.93
2026-06-02,control,157,3197,60,7,7,8,28.72
2026-06-02,variant1,134,3109,74,11,13,18,72.84
2026-06-03,control,148,3197,60,5,5,6,25.17
2026-06-03,variant1,151,3109,74,10,12,13,52.87
2026-06-04,control,156,3197,60,4,4,4,12.75
2026-06-04,variant1,159,3109,74,12,14,21,85.13
2026-06-05,control,128,3197,60,7,7,8,30.28
2026-06-05,variant1,117,3109,74,9,9,12,48.8
2026-06-06,control,153,3197,60,5,6,6,19.2
2026-06-06,variant1,146,3109,74,5,5,6,27.76
2026-06-07,control,136,3197,60,2,3,3,10.29
2026-06-07,variant1,128,3109,74,6,6,6,23.25
2026-06-08,control,153,3197,60,4,5,6,22.42
2026-06-08,variant1,153,3109,74,6,7,10,39.11
2026-06-09,control,159,3197,60,1,1,1,5.79
2026-06-09,variant1,170,3109,74,7,9,10,48.9
2026-06-10,control,144,3197,60,4,4,4,14.98
2026-06-10,variant1,132,3109,74,11,13,22,79.53
2026-06-11,control,125,3197,60,5,5,6,27.55
2026-06-11,variant1,137,3109,74,4,4,6,24.46
2026-06-12,control,143,3197,60,1,1,1,2.71
2026-06-12,variant1,133,3109,74,5,6,6,29.34
2026-06-13,control,143,3197,60,1,1,1,3.8
2026-06-13,variant1,181,3109,74,5,5,6,25.09
2026-06-14,control,187,3197,60,1,1,1,3.26
2026-06-14,variant1,166,3109,74,3,3,3,13.54
2026-06-15,control,125,3197,60,3,3,4,13.05
2026-06-15,variant1,123,3109,74,5,6,8,32.92
2026-06-16,control,148,3197,60,6,6,6,23.38
2026-06-16,variant1,133,3109,74,6,8,11,49.37
2026-06-17,control,136,3197,60,3,3,4,18.64
2026-06-17,variant1,132,3109,74,5,7,8,36.85
2026-06-18,control,151,3197,60,2,3,3,17.02
2026-06-18,variant1,162,3109,74,6,7,7,29.45
2026-06-19,control,141,3197,60,2,2,3,13.31
2026-06-19,variant1,122,3109,74,5,6,9,38.16
2026-06-20,control,161,3197,60,1,1,1,2.71
2026-06-20,variant1,152,3109,74,3,3,4,19.51
2026-06-21,control,113,3197,60,1,1,1,5.79
2026-06-21,variant1,100,3109,74,4,5,6,22.71
2026-06-22,control,202,3197,60,3,3,3,14.92
2026-06-22,variant1,159,3109,74,4,6,6,31.21
2026-06-23,control,12,3197,60,1,1,1,5.79
2026-06-23,variant1,23,3109,74,4,4,5,23.43
