store_id,store_code,store_name,address,status,opening_date,region,inspected_in_april
628,US00000,NJ Test Kitchen,"1 County Rd Unit B9, Secaucus, NJ 07094",active,2025-05-09,LKUS00000041,Yes
626,US00001,8th & Broadway,"755 Broadway, New York , NY 10003",active,2025-06-30,LKUS00000041,Yes
627,US00002,28th & 6th,"800 6th Ave, New York, NY 10001",active,2025-06-30,LKUS00000041,Yes
630,US00003,100 Maiden Ln,"100 Maiden Ln, New York, NY 10038",active,2025-09-09,LKUS00000052,Yes
1136,US00004,37th & Broadway,"1375 Broadway, New York, NY 10018",active,2025-11-20,LKUS00000041,Yes
631,US00005,54th & 8th,"901 8th Ave, New York, NY 10019",active,2025-08-24,LKUS00000041,Yes
1135,US00006,102 Fulton,"102 Fulton St, New York, NY 10038",active,2025-08-28,LKUS00000052,Yes
1134,US00007,108th & Broadway,"2799 Broadway, New York, NY 10025",active,2026-04-30,LKUS00000041,No
1133,US00008,33rd & 10th,"410 10th Ave, New York, NY 10001",active,2025-12-01,LKUS00000041,Yes
1138,US00009,48th & 3rd,"770 3rd Ave, New York, NY 10017",inactive,,LKUS00000041,No
1139,US00010,154 Bleecker,"154 Bleecker St, New York, NY 10012",active,2026-04-28,LKUS00000052,No
1140,US00011,180 Varick,"180 Varick St, New York, NY 10014",inactive,,LKUS00000041,No
1142,US00012,16th & 6th,"555 6th Ave, New York, NY 10011",active,2026-03-23,LKUS00000052,Yes
1143,US00013,Grand Central Terminal,"52 Vanderbilt Ave, Lower Level, New York, NY 10017",inactive,,LKUS00000041,No
1144,US00014,25 Park Row,"146 Chambers St, New York, NY 10007",inactive,,LKUS00000041,No
1145,US00015,41st & Lexington,"369 Lexington Ave, New York, NY 10017",active,2026-04-30,LKUS00000041,No
1146,US00016,Reade & Broadway,"291 Broadway, New York, NY 10007",inactive,,LKUS00000041,No
1147,US00017,63rd & 3rd,"219 9th Ave, New York, NY 10011",inactive,,LKUS00000041,No
1148,US00018,40th & 10th,"55010th Ave, New York, NY 10018",inactive,,LKUS00000041,No
1149,US00019,29th & 3rd,"401 3rd Ave, New York, NY 10016",active,2026-04-11,LKUS00000052,Yes
1150,US00020,21st & 3rd,"261 3rd Avenue, New York, NY 10010",active,2026-02-06,LKUS00000052,Yes
1151,US00021,128 W 32nd St,"128 W 32nd St, New York, NY 10001",inactive,,LKUS00000041,No
1152,US00022,23rd & 8th,"244 8th Ave, New York, NY 10011",inactive,,LKUS00000041,No
1153,US00023,23rd & 1st,"352 E 23rd St, New York, NY 10010",inactive,,LKUS00000041,No
1154,US00024,15th & 3rd,"147 3rd Ave, New York, NY 10003",active,2025-12-14,LKUS00000052,Yes
1155,US00025,221 Grand,"221 Grand St, New York, NY 10013",active,2025-12-15,LKUS00000052,Yes
1156,US00026,211 Schermerhorn,"211 Schermerhorn St, Brooklyn, NY 11201",inactive,,LKUS00000041,No
1157,US00027,52nd & Madison,"488 Madison Ave, New York, NY 10022",active,2026-02-26,LKUS00000041,Yes
1162,US00028,Jackson Ave - LIC,"27-01 Jackson Ave, Long Island City, NY 11101",inactive,,LKUS00000041,No
1163,US00029,148 Chambers,"148 Chambers St, New York, NY 10007",inactive,,LKUS00000041,No
1158,US00035,35th & 5th,"366 5th Avenue, New York, NY 10001",inactive,,LKUS00000041,No
1159,US99998,Shanghai Test Kitchen,"Unit 802, 15 W 38th St, New York, NY 10018",active (test/internal),2025-11-14,LKUS00000041,No
1132,US99999,NJ Test Kitchen 2,"1 County Rd, unit b9, Secaucus, NJ 07094",active (test/internal),2025-06-26,LKUS00000041,No
