store_label,shop_no,coned_account,address_coned,address_internal,store_name,neighborhood,open_date,store_status,area_sqft,match_confidence,cups_2025_08,cups_2025_09,cups_2025_10,cups_2025_11,cups_2025_12,cups_2026_01,cups_2026_02,cups_2026_03,rev_2025_08,rev_2025_09,rev_2025_10,rev_2025_11,rev_2025_12,rev_2026_01,rev_2026_02,rev_2026_03,total_cups_all_months,total_revenue_all_months,total_operating_days,avg_daily_cups_all_time,avg_daily_staff_latest
S01,US00007,67291639960,2799 Broadway,"2799 Broadway, New York, NY 10025",108th & Broadway,Upper West Side / Morningside Heights,NOT YET OPEN,preparing (status=2),NOT AVAILABLE,EXACT,,,,,,,,,,,,,,,,,,,,,7.0
S02,US00020,71595109811,200 E 21st St,"261 3rd Avenue, New York, NY 10010",21st & 3rd,Gramercy,2026-02-06,active (status=1),1750.0,"CONFIRMED — ConEd meter at 200 E 21st St, store at 261 3rd Ave (same building, different entrance)",,,,,,,6600,7871,,,,,,,23324.17,29911.14,14471,53235.31,50,289.4,11.6
S03,US00022,62790930457,244 8th Ave,"244 8th Ave, New York, NY 10011",23rd & 8th,Chelsea,NOT YET OPEN,preparing (status=2),NOT AVAILABLE,EXACT,,,,,,,,,,,,,,,,,,,,,
S04,US00027,76978209914,488 Madison Ave,"488 Madison Ave, New York, NY 10022",52nd & Madison,Midtown / Plaza District,2026-02-26,active (status=1),968.8,EXACT,,,,,,,959,10708,,,,,,,3101.26,38756.56,11667,41857.82,31,376.4,9.3
S05,US00025,23520686272,219 Grand St,"221 Grand St, New York, NY 10013",221 Grand,Chinatown / Little Italy,2025-12-15,active (status=1),1000.0,"NEAR — ConEd 219 vs DB 221 (same building, different entrance numbering)",,,,,10426,17121,13557,15004,,,,,34753.14,61283.48,49778.45,54731.19,56108,200546.26,103,544.7,12.3
S06,US00021,06543049552,125 W 31st St,"128 W 32nd St, New York, NY 10001",128 W 32nd St,Koreatown / Herald Square,NOT YET OPEN,preparing (status=2),NOT AVAILABLE,"CONFIRMED — ConEd meter at 125 W 31st St, store at 128 W 32nd St (adjacent building)",,,,,,,,,,,,,,,,,,,,,
S07,US00010,11688453528,184 Thompson St,"154 Bleecker St, New York, NY 10012",154 Bleecker,Greenwich Village,NOT YET OPEN,under construction (status=2),NOT AVAILABLE,"CONFIRMED — ConEd meter at 184 Thompson St, store at 154 Bleecker St (under construction, ~2 blocks)",,,,,,,,,,,,,,,,,,,,,
S08,US00019,75509283620,401 3rd Ave,"401 3rd Ave, New York, NY 10016",29th & 3rd,Kips Bay,NOT YET OPEN,preparing (status=2),1733.0,EXACT,,,,,,,,,,,,,,,,,,,,,
S09,US00023,21698356041,352 E 23rd St,"352 E 23rd St, New York, NY 10010",23rd & 1st,Gramercy / Stuyvesant Town,NOT YET OPEN,preparing (status=2),1474.7,EXACT,,,,,,,,,,,,,,,,,,,,,
S10,US00024,25556485990,147 3rd Ave,"147 3rd Ave, New York, NY 10003",15th & 3rd,Gramercy / East Village,2025-12-14,active (status=1),924.6,EXACT,,,,,3292,6893,5994,6448,,,,,11201.41,25210.53,23093.97,24654.82,22627,84160.73,104,217.6,9.4
S11,US00006,84868252416,102 Fulton St,"102 Fulton St, New York, NY 10038",102 Fulton,Financial District,2025-08-28,active (status=1),699.7,EXACT,2473,16270,16944,14904,12918,11483,10287,11712,7765.9,59257.91,64572.77,52377.37,50043.55,43805.03,40243.14,45427.65,96991,363493.32,212,457.5,11.2
S12,US00012,38162017628,555 6th Ave,"555 6th Ave, New York, NY 10011",16th & 6th,Chelsea / Union Square,2026-03-23,active (status=1),947.2,EXACT,,,,,,,,679,,,,,,,,2356.91,679,2356.91,5,135.8,8.0
