store_label,store_id,shop_no,coned_account,address,year_month,total_cups,order_count,operating_days,daily_avg_cups,revenue_usd
S02,20027,US00020,71595109811,200 E 21st St,2026-02,6600,5025,22,300.0,23324.17
S02,20027,US00020,71595109811,200 E 21st St,2026-03,7871,6027,28,281.1,29911.14
S04,20035,US00027,76978209914,488 Madison Ave,2026-02,959,708,3,319.7,3101.26
S04,20035,US00027,76978209914,488 Madison Ave,2026-03,10708,8073,28,382.4,38756.56
S05,20032,US00025,23520686272,219 Grand St,2025-12,10426,7394,17,613.3,34753.14
S05,20032,US00025,23520686272,219 Grand St,2026-01,17121,12330,31,552.3,61283.48
S05,20032,US00025,23520686272,219 Grand St,2026-02,13557,9577,27,502.1,49778.45
S05,20032,US00025,23520686272,219 Grand St,2026-03,15004,10998,28,535.9,54731.19
S10,20031,US00024,25556485990,147 3rd Ave,2025-12,3292,2502,18,182.9,11201.41
S10,20031,US00024,25556485990,147 3rd Ave,2026-01,6893,5283,31,222.4,25210.53
S10,20031,US00024,25556485990,147 3rd Ave,2026-02,5994,4500,27,222.0,23093.97
S10,20031,US00024,25556485990,147 3rd Ave,2026-03,6448,4932,28,230.3,24654.82
S11,20010,US00006,84868252416,102 Fulton St,2025-08,2473,1950,4,618.2,7765.9
S11,20010,US00006,84868252416,102 Fulton St,2025-09,16270,12934,30,542.3,59257.91
S11,20010,US00006,84868252416,102 Fulton St,2025-10,16944,13421,31,546.6,64572.77
S11,20010,US00006,84868252416,102 Fulton St,2025-11,14904,11140,30,496.8,52377.37
S11,20010,US00006,84868252416,102 Fulton St,2025-12,12918,9603,31,416.7,50043.55
S11,20010,US00006,84868252416,102 Fulton St,2026-01,11483,8560,31,370.4,43805.03
S11,20010,US00006,84868252416,102 Fulton St,2026-02,10287,7729,27,381.0,40243.14
S11,20010,US00006,84868252416,102 Fulton St,2026-03,11712,9037,28,418.3,45427.65
S12,20019,US00012,38162017628,555 6th Ave,2026-03,679,513,5,135.8,2356.91
