store_label,store_id,shop_no,coned_account,address_coned,address_internal,store_name_en,store_name_cn,city,borough,neighborhood,latitude,longitude,area_sqft,area_sqm,store_type,open_date,store_status,lease_type,landlord_electricity,equipment_notes,match_confidence
S01,20009,US00007,67291639960,2799 Broadway,"2799 Broadway, New York, NY 10025",108th & Broadway,NOT AVAILABLE,New York,Manhattan,Upper West Side / Morningside Heights,40.802905,-73.967925,NOT AVAILABLE — not yet in system,NOT AVAILABLE — not yet in system,NOT AVAILABLE — collect manually,NOT YET OPEN,preparing (status=2),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
S02,20027,US00020,71595109811,200 E 21st St,"261 3rd Avenue, New York, NY 10010",21st & 3rd,NOT AVAILABLE,New York,Manhattan,Gramercy,40.737333,-73.983894,1750.0,162.58,scene_type=5,2026-02-06,active (status=1),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,"CONFIRMED — ConEd meter at 200 E 21st St, store at 261 3rd Ave (same building, different entrance)"
S03,20029,US00022,62790930457,244 8th Ave,"244 8th Ave, New York, NY 10011",23rd & 8th,NOT AVAILABLE,New York,Manhattan,Chelsea,40.744798,-73.998477,NOT AVAILABLE — not yet in system,NOT AVAILABLE — not yet in system,NOT AVAILABLE — collect manually,NOT YET OPEN,preparing (status=2),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
S04,20035,US00027,76978209914,488 Madison Ave,"488 Madison Ave, New York, NY 10022",52nd & Madison,NOT AVAILABLE,New York,Manhattan,Midtown / Plaza District,40.75891,-73.975197,968.8,90.0,scene_type=5,2026-02-26,active (status=1),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
S05,20032,US00025,23520686272,219 Grand St,"221 Grand St, New York, NY 10013",221 Grand,NOT AVAILABLE,New York,Manhattan,Chinatown / Little Italy,40.718571,-73.995919,1000.0,92.9,scene_type=5,2025-12-15,active (status=1),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,"NEAR — ConEd 219 vs DB 221 (same building, different entrance numbering)"
S06,20028,US00021,06543049552,125 W 31st St,"128 W 32nd St, New York, NY 10001",128 W 32nd St,NOT AVAILABLE,New York,Manhattan,Koreatown / Herald Square,40.748921,-73.990053,NOT AVAILABLE — not yet in system,NOT AVAILABLE — not yet in system,NOT AVAILABLE — collect manually,NOT YET OPEN,preparing (status=2),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,"CONFIRMED — ConEd meter at 125 W 31st St, store at 128 W 32nd St (adjacent building)"
S07,20016,US00010,11688453528,184 Thompson St,"154 Bleecker St, New York, NY 10012",154 Bleecker,NOT AVAILABLE,New York,Manhattan,Greenwich Village,40.728185,-73.999602,NOT AVAILABLE — not yet in system,NOT AVAILABLE — not yet in system,NOT AVAILABLE — collect manually,NOT YET OPEN,under construction (status=2),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,"CONFIRMED — ConEd meter at 184 Thompson St, store at 154 Bleecker St (under construction, ~2 blocks)"
S08,20026,US00019,75509283620,401 3rd Ave,"401 3rd Ave, New York, NY 10016",29th & 3rd,NOT AVAILABLE,New York,Manhattan,Kips Bay,40.742275,-73.980474,1733.0,161.0,scene_type=5,NOT YET OPEN,preparing (status=2),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
S09,20030,US00023,21698356041,352 E 23rd St,"352 E 23rd St, New York, NY 10010",23rd & 1st,NOT AVAILABLE,New York,Manhattan,Gramercy / Stuyvesant Town,40.736731,-73.978947,1474.7,137.0,scene_type=5,NOT YET OPEN,preparing (status=2),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
S10,20031,US00024,25556485990,147 3rd Ave,"147 3rd Ave, New York, NY 10003",15th & 3rd,NOT AVAILABLE,New York,Manhattan,Gramercy / East Village,40.734028,-73.986224,924.6,85.9,scene_type=5,2025-12-14,active (status=1),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
S11,20010,US00006,84868252416,102 Fulton St,"102 Fulton St, New York, NY 10038",102 Fulton,NOT AVAILABLE,New York,Manhattan,Financial District,40.709656,-74.00679,699.7,65.0,scene_type=5,2025-08-28,active (status=1),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
S12,20019,US00012,38162017628,555 6th Ave,"555 6th Ave, New York, NY 10011",16th & 6th,NOT AVAILABLE,New York,Manhattan,Chelsea / Union Square,40.738418,-73.996378,947.2,88.0,scene_type=5,2026-03-23,active (status=1),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,EXACT
