store_label,store_id,shop_no,address,year_month,days_with_staff,avg_daily_staff,avg_daily_scheduled_hours,operating_hours_estimate,equipment_list,total_rated_watts,renovation_dates,temporary_closures
S01,20009,US00007,2799 Broadway,2026-03,7,7.0,53.7,~7.7h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S02,20027,US00020,200 E 21st St,2026-02,27,8.9,65.6,~7.4h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S02,20027,US00020,200 E 21st St,2026-03,31,11.6,86.3,~7.4h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S04,20035,US00027,488 Madison Ave,2026-02,6,10.7,81.7,~7.6h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S04,20035,US00027,488 Madison Ave,2026-03,30,9.3,71.4,~7.7h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S05,20032,US00025,219 Grand St,2025-12,20,9.8,71.2,~7.3h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S05,20032,US00025,219 Grand St,2026-01,31,15.0,113.1,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S05,20032,US00025,219 Grand St,2026-02,28,12.3,92.1,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S05,20032,US00025,219 Grand St,2026-03,31,12.3,92.3,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S10,20031,US00024,147 3rd Ave,2025-12,22,9.6,71.0,~7.4h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S10,20031,US00024,147 3rd Ave,2026-01,31,8.4,61.5,~7.3h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S10,20031,US00024,147 3rd Ave,2026-02,28,9.1,67.2,~7.4h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S10,20031,US00024,147 3rd Ave,2026-03,31,9.4,66.9,~7.1h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2025-08,9,9.6,72.0,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2025-09,30,10.5,80.4,~7.7h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2025-10,31,13.1,101.7,~7.8h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2025-11,30,15.1,116.3,~7.7h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2025-12,31,11.3,84.3,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2026-01,31,11.8,88.3,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2026-02,28,10.2,77.0,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S11,20010,US00006,102 Fulton St,2026-03,31,11.2,84.5,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
S12,20019,US00012,555 6th Ave,2026-03,13,8.0,59.8,~7.5h/day (staff-hours / headcount),NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually,NOT AVAILABLE — collect manually
