timestamp_utc,DatabaseConnections_Max,CPUUtilization_Avg,WriteIOPS_Avg,ReadIOPS_Avg,ReadLatency_s_Avg,FreeableMemory_bytes,NetworkRx_Bps
2026-04-25T12:30:00Z,77,7.04,50.7,1.33,0,796925952,19428
2026-04-25T12:31:00Z,75,5.86,54.0,0,0,795721728,23590
2026-04-25T12:32:00Z,59,6.26,59.1,0,0,799469568,21160
2026-04-25T12:33:00Z,60,5.43,52.9,0,0,805064704,19319
2026-04-25T12:34:00Z,61,5.49,58.6,0,0,796356608,21084
2026-04-25T12:35:00Z,58,5.82,48.3,1.33,0,798957568,17326
2026-04-25T12:36:00Z,60,5.96,46.1,0,0,797913088,17258
2026-04-25T12:37:00Z,56,6.04,56.2,0,0,795021312,20460
2026-04-25T12:38:00Z,60,5.53,54.9,0,0,795127808,19552
2026-04-25T12:39:00Z,61,5.57,52.0,0,0,793833472,18946
2026-04-25T12:40:00Z,53,5.52,37.5,1.33,0.0017,798769152,13793
2026-04-25T12:41:00Z,55,5.34,33.2,0,0,795234304,12769
2026-04-25T12:42:00Z,61,5.23,43.3,0,0,793223168,16537
2026-04-25T12:43:00Z,62,5.70,52.5,0,0,799272960,18598
2026-04-25T12:44:00Z,64,5.56,58.4,0,0,802369536,21754
2026-04-25T12:45:00Z,65,6.27,62.8,1.33,0.0008,794013696,21318
2026-04-25T12:46:00Z,62,6.31,47.7,0,0,792711168,18347
2026-04-25T12:47:00Z,70,5.76,55.2,0,0,798441472,21325
2026-04-25T12:48:00Z,54,5.93,52.3,0,0,803287040,19314
2026-04-25T12:49:00Z,63,5.17,52.7,0,0,799219712,19024
2026-04-25T12:50:00Z,57,5.92,44.6,1.33,0,794906624,17621
2026-04-25T12:51:00Z,64,5.91,56.8,0,0,800735232,20845
2026-04-25T12:52:00Z,59,5.78,60.2,0,0,806883328,22427
2026-04-25T12:53:00Z,64,6.18,60.1,0,0,801083392,22058
2026-04-25T12:54:00Z,65,5.56,59.9,0.02,0,799518720,23599
2026-04-25T12:55:00Z,62,5.98,62.7,1.33,0.0008,794800128,22575
2026-04-25T12:56:00Z,58,5.93,56.1,0,0,797855744,22537
2026-04-25T12:57:00Z,55,6.45,53.7,0,0,802123776,22448
2026-04-25T12:58:00Z,56,5.95,59.8,0,0,797515776,21988
2026-04-25T12:59:00Z,56,5.88,51.6,0,0,796442624,19359
2026-04-25T13:00:00Z,64,7.30,66.7,3.08,0.0004,796303360,23455
2026-04-25T13:01:00Z,161,18.56,843.0,0.02,0.01,793280512,1061662
