file_label,store_code,store_name,svc_date,location,observation,pest_type,recommendation,responsibility,status
052,US00013,Grand Central Terminal,7/25/2026,"Common Area(s), Storage Room",No Activity,,Inspection Provided,Technician,Resolved
100,US00003,100 Maiden Ln,7/9/2026,"Common Area(s), Dishwashing Area(s), Restrooms, Dining Room, Storage Room",No Activity,,Inspection Provided,Technician,Resolved
102,US00006,102 Fulton,7/9/2026,"Basement Level, Storage Room",Activity - Dead,American Cockroaches,Treatment Rendered,Technician,Resolved
108,US00007,108th & Broadway,7/13/2026,Basement Level,Activity - Dead,American Cockroaches,Treatment Rendered,Technician,Pending (Technician resolution needed)
108,US00007,108th & Broadway,7/13/2026,Basement Level,Activity - Dead,American Cockroaches,Treatment Rendered,Technician,Pending (Technician resolution needed)
128,US00021,128 W 32nd St,7/20/2026,Common Area(s),No Activity / Inspection Provided,,No Activity Found - Inspected,Technician,Resolved
1375,US00004,37th & Broadway,7/23/2026,Drains,Drain Issue,,Check Drain Lines,Customer,Pending (Customer resolution needed)
1375,US00004,37th & Broadway,7/23/2026,Common Area(s),No Activity / Inspection Provided,,No Activity Found - Inspected,Technician,Resolved
147,US00024,15th & 3rd,7/22/2026,,Activity - Dead,American Cockroaches,Replaced Glue Board,Technician,Resolved
154,US00010,154 Bleecker,7/20/2026,"Bar Area(s), Common Area(s), Dishwashing Area(s), Storage Room, Maintenance Room",No Activity,,Inspection Provided,Technician,Resolved
221,US00025,221 Grand,7/14/2026,Common Area(s),Activity - Dead,Occasional Invaders,Replaced Glue Board,Technician,Resolved
244,US00022,23rd & 8th,7/20/2026,Common Area(s),Preventative,,Treatment Rendered,Technician,Pending (Technician resolution needed)
261,US00020,21st & 3rd,7/25/2026,Storage Room,No Activity / Inspection Provided,,Replaced Glue Board,Technician,Resolved
369,US00015,41st & Lexington,7/9/2026,Kitchen Area(s),Gaps,,Seal Openings and Gaps,Technician,Resolved
401,US00019,29th & 3rd,7/25/2026,"Check-Out Counters, Compactor Area(s), Restrooms, Storage Room",No Activity / Inspection Provided,,No Activity Found - Inspected,Technician,Resolved
410,US00008,33rd & 10th,7/30/2026,Drains,Activity - Live,Flies,Activity Found/Treatment Req,Technician,Resolved
488,US00027,52nd & Madison,7/18/2026,Drains,Activity - Live,House Flies,Corrective Action,Technician,Resolved
550,US00018,40th & 10th,7/27/2026,Common Area(s),No Activity,,Inspection Provided,Technician,Resolved
555,US00012,16th & 6th,7/21/2026,"Bar Area(s), Common Area(s), Back",Preventative,,Treatment Rendered,Technician,Pending (Technician resolution needed)
755,US00001,8th & Broadway,7/8/2026,Common Area(s),Preventative,,Treatment Rendered,Technician,Resolved
770,US00009,48th & 3rd,7/11/2026,Common Area(s),Activity - Live,Fruit Flies,Activity Found/Treatment Req,Technician,Resolved
800,US00002,28th & 6th,7/20/2026,Back,Moisture Accumulation,,Remove Spillage,Customer,Pending (Customer resolution needed)
901,US00005,54th & 8th,7/18/2026,Dishwashing Area(s),Activity - Dead,Centipedes,Replaced Glue Board,Technician,Resolved
