file_label,store_code,store_name,product,quantity,target_pests
102,US00006,102 Fulton,ALPINE WSG INSECTICIDE,1 GALLON(S),Cockroaches
102,US00006,102 Fulton,Glue Board Replacement,3,American Cockroaches
108,US00007,108th & Broadway,Glue Board Mouse,12,"American Cockroaches, German"
108,US00007,108th & Broadway,MAXFORCE COMPLETE GRANULAR,5 OUNCE(S),Cockroaches
128,US00021,128 W 32nd St,ACTIZYME AEROSOL FOAM,10 OUNCE (S),Cleaner
128,US00021,128 W 32nd St,Protecta Pest Monitors,5,Occasional Invaders
1375,US00004,37th & Broadway,ACTIZYME AEROSOL FOAM,10 OUNCE (S),Cleaner
147,US00024,15th & 3rd,ALPINE WSG INSECTICIDE,0.5 GALLON(S),"Ants, Cockroaches, Centipedes"
147,US00024,15th & 3rd,GT 180 Glueboards,9,"American Cockroaches, Occasional"
147,US00024,15th & 3rd,NYGUARD IGR CONCENTRATE,0.5 GALLON(S),"Ants, Cockroaches, Flies"
221,US00025,221 Grand,ALPINE WSG INSECTICIDE,18 OUNCE(S),"Ants, Cockroaches, Centipedes"
221,US00025,221 Grand,GT150 Glueboard,5,Occasional Invaders
244,US00022,23rd & 8th,ALPINE WSG INSECTICIDE,10 OUNCE(S),"Cockroaches, House Flies"
244,US00022,23rd & 8th,Glue Board Mouse,10,Occasional Invaders
261,US00020,21st & 3rd,ALPINE WSG INSECTICIDE,30 OUNCE(S),Cockroaches
261,US00020,21st & 3rd,Trapper Glueboard/Insect Monitor,4,Cockroaches
401,US00019,29th & 3rd,ALPINE WSG INSECTICIDE,30 OUNCE(S),Cockroaches
401,US00019,29th & 3rd,Trapper Glueboard/Insect Monitor,3,Cockroaches
410,US00008,33rd & 10th,ACTIZYME AEROSOL FOAM,14 OUNCE (S),Cleaner
488,US00027,52nd & Madison,ALPINE WSG INSECTICIDE,0.5 GALLON(S),"Ants, Cockroaches, House Flies,"
488,US00027,52nd & Madison,GT 180 Glueboards,5,"American Cockroaches, Occasional"
488,US00027,52nd & Madison,NYGUARD IGR CONCENTRATE,0.5 GALLON(S),"Ants, Cockroaches, Flies"
550,US00018,40th & 10th,ALPINE WSG INSECTICIDE,1 GALLON(S),Cockroaches
755,US00001,8th & Broadway,ALPINE WSG INSECTICIDE,18 OUNCE(S),"Ants, Centipedes, Cockroaches"
755,US00001,8th & Broadway,GT 180 Glueboards,2,Occasional Invaders
770,US00009,48th & 3rd,ALPINE WSG INSECTICIDE,2 OUNCE(S),Cockroaches
800,US00002,28th & 6th,ALPINE WSG INSECTICIDE,10 OUNCE(S),"Cockroaches, House Flies"
901,US00005,54th & 8th,ALPINE WSG INSECTICIDE,0.5 GALLON(S),"Ants, Cockroaches, House Flies,"
901,US00005,54th & 8th,GT 180 Glueboards,5,Occasional Invaders
