file_label,house_no,store_code,store_name,address,svc_date,svc_type,event_type,time_in,time_out,tech,license,invoice,amount,tax,total_due,observations,distinct_observations,open_actions,has_live_activity,pest_types,program_id,comments
052,52,US00013,Grand Central Terminal,52 Vanderbilt Ave,7/25/2026,PC Standard - Monthly,PC Standard,9:30 AM,9:57 AM,JOHN COLON,C2900397,304635218,90.00,7.99,97.99,1,1,0,False,,16613726,"Spoke to Manager Aiden no concerns. What I saw: is not activity found in all common areas, coffee production areas ,service counter, storage room . What I did: I inspect all common areas and treated all.common areas , coffee production areas ,service counter, storage room . Inspected tin cats. What I expect: not activities In all common areas What I recommend: clean and keep organize all common areas, , coffee production areas ,service counter, storage room to prevent activity. Thanks for your Cooperation and stay safe."
100,100,US00003,100 Maiden Ln,100 MAIDEN LN,7/9/2026,PC Standard - Monthly,PC Standard,8:02 AM,11:22 AM,JOHN COLON,C2900397,304500656,90.00,7.99,97.99,1,1,0,False,,16595863,"Spoke to manager domo no concerns. What I saw: is not activity found in all common areas, dining area,service counter ,coffee production areas,dishwashing area,break room, storage room bathrooms. What I did: I inspect all common areas and treated all.common areas, dining area,service counter ,coffee production areas,dishwashing area,break room, storage room bathrooms. Inspected tin cats and pest monitors. What I expect: not activities In all common areas What I recommend: clean and keep organize all common areas, dining area,service counter ,coffee production areas,dishwashing area,break room, storage room bathrooms to prevent activity. Thanks for your Cooperation and stay safe."
102,102,US00006,102 Fulton,102 Fulton St,7/9/2026,PC Standard - Monthly,PC Standard,8:17 AM,8:52 AM,JOHN COLON,C2900397,304500744,90.00,7.99,97.99,1,1,0,False,American Cockroaches,16595874,"Spoke to manager venesill no concerns. What I saw: is dead activity 1 American roach on floor in basement. What I did: I inspect all common areas and treated all.common areas , basement, break room, coffee production areas,service counter,storage room bathrooms. Treated all areas listed cracks and crevices with alpine wsg and inspected tin cats and replaced damaged glue boards. What I expect : not activities In all common areas What I recommend: clean and keep organize all common areas, basement, break room, coffee production areas,service counter,storage room bathrooms to prevent activity. Thanks for your Cooperation and stay safe."
108,2799,US00007,108th & Broadway,2799 Broadway,7/13/2026,PC Standard - Monthly,PC Standard,8:42 AM,9:09 AM,ZAHID SHAMID,C2822969,304503223,90.00,7.99,97.99,2,1,0,False,American Cockroaches,16596184,I arrived and spoke with Naiome What I did complete inspection And treated for roaches and rodents I changed monitors and scattered max force insects baits inside basement What I recommend to Naiome keep clean Thank you
128,128,US00021,128 W 32nd St,128 W 32nd St,7/20/2026,PC Standard - Monthly,"PC 1st Service, Equipment - 1 Time",9:25 AM,3:58 PM,CHRIS DELGADO,,304852127,275.00,24.41,299.41,1,1,0,False,,16644720,"What I saw: no live activity . What I did: inspected all common areas, restroom, kitchen, preparation area, electrical room, storage area, treated all drains with Actiyme foam, place two tincats in kitchen and counter area What I recommend: keep all kitchen and drain areas clean to prevent future activity thank you"
1375,1375,US00004,37th & Broadway,1375 Broadway,7/23/2026,PC Standard - Monthly,PC Standard,12:59 PM,1:26 PM,CHRIS DELGADO,,304503054,90.00,7.99,97.99,2,2,0,False,,16596162,"What I saw: no live activity . What I did: inspected all common areas, tincats, restrooms, cafe, kitchen, preparation area, electrical room, storage area, treated all drains with Actiyme foam What I recommend: keep all kitchen and drain areas clean to prevent future activity thank you"
147,147,US00024,15th & 3rd,147 3rd Ave,7/22/2026,PC Standard - Monthly,PC Standard,8:18 AM,11:22 AM,FANOR RAMIREZ,,304500816,90.00,7.99,97.99,1,1,0,False,American Cockroaches,16595881,"Ive arrived at location and checked in with Vita no recent activity was mentioned other than a centipede that was spotted under the checkout counter. I then inspected all areas of the basement and first floor, inspecting all tin cats, and glue board monitors replacing all glue boards. I also treated all areas on the first floor in the basement with WSG mixed with IGR. What I recommend. To keep all areas, clean and organized at all times to avoid future activity. Thank you."
154,154,US00010,154 Bleecker,154 Bleecker St,7/20/2026,PC Standard - Monthly,PC Standard,10:57 AM,11:22 AM,JOHN COLON,C2900397,304501004,90.00,7.99,97.99,1,1,1,False,,16595909,"Spoke to Alex no concerns. What I saw: is not activity found in all common areas, coffee service counter areas,dish washing area,water heater room,storage room bathrooms. What I did: I inspect all common areas and treated all.common areas, , coffee service counter areas,dish washing area,water heater room,storage room bathrooms. Inspected tin cats and pest monitors. What I expect: not activities In all common areas What I recommend: clean and keep organize all common areas, , coffee service counter areas,dish washing area,water heater room,storage room bathrooms to prevent activity. Thanks for your Cooperation and stay safe."
221,221,US00025,221 Grand,221 Grand St,7/14/2026,PC Standard - Monthly,PC Standard,10:22 AM,10:50 AM,FANOR RAMIREZ,,304500883,90.00,7.99,97.99,1,1,0,False,Occasional Invaders,16595890,"Arrived at location checked in with YONG no recent activity was mentioned I then treated all areas, including dishwashing areas, storage spaces, restroom, office, employee break areas, and all appliances in the front inspecting oil, tin cats, replacing all boards and treating all areas with WSG mixed with IGR. What I recommend. To keep all areas, clean and organized at all times to avoid future activity. Thank you."
244,244,US00022,23rd & 8th,244 8th Ave,7/20/2026,PC Standard - Monthly,PC Standard,8:11 AM,12:57 PM,SIMON LI,C2906519,304500943,90.00,7.99,97.99,1,1,1,False,,16595901,"What was seen: Spoke to Andrew about issues or concerns. No signs of issues or concerns regarding pest activity. What was done: common areas, service counters, seating areas, beverage dispensers, ice machine, dishwashing areas, storage areas, maintenance areas, office areas, break rooms, and restrooms were inspected and treated for pest activity. Inspected and treated drains, cracks and crevices with alpine Wsg solution. Inspected and replaced glue boards. Recommend: Please organize and keep all areas, especially beneath kitchen equipment, clear of clutter, food debris, and spills. Thank you for your understanding and cooperation."
