# Domain: luckycommon | Namespace: AWS/ES | Region: us-east-1 | Period: 60s | Window: 2026-09-15T20:30Z - 22:00Z
# Stat: CPUUtilization / MasterCPUUtilization = Maximum ; Nodes = Minimum ; MasterReachableFromNode = Minimum
# Retrieved via: aws cloudwatch get-metric-data --region us-east-1 . EMPTY CELL = NO DATAPOINT PUBLISHED BY THAT NODE
timestamp_utc,Nodes,MasterReachableFromNode,uHd_i_NhTuOnijaIMvTCwA,zip4p__KRSua3vTT-LK37A,fveZ-PKLTSus14WVO7eMLQ,WZNuw2r0TKWIWzUWVKboUQ,5a-S3WqQSLuABRVeJ-MGBw,KLaSK0NZQS-5m4jwH8uw5A,ovXuEIIxTJmTs_bTiCWY-A
2026-09-15T20:30:00Z,7,1,11,13,31,22,17,27,12
2026-09-15T20:31:00Z,7,1,8,7,18,16,26,21,18
2026-09-15T20:32:00Z,7,1,7,8,14,12,13,21,10
2026-09-15T20:33:00Z,7,1,8,12,18,10,10,17,9
2026-09-15T20:34:00Z,7,1,9,8,16,11,11,20,10
2026-09-15T20:35:00Z,7,1,12,10,33,18,16,25,12
2026-09-15T20:36:00Z,7,1,7,9,18,21,9,20,14
2026-09-15T20:37:00Z,7,1,8,22,20,11,11,17,9
2026-09-15T20:38:00Z,7,1,8,10,13,10,11,25,10
2026-09-15T20:39:00Z,7,1,9,7,22,10,11,15,10
2026-09-15T20:40:00Z,7,1,11,11,38,19,14,27,19
2026-09-15T20:41:00Z,7,1,13,7,23,9,11,17,19
2026-09-15T20:42:00Z,7,1,8,7,16,12,10,22,9
2026-09-15T20:43:00Z,7,1,8,6,18,10,10,16,11
2026-09-15T20:44:00Z,7,1,9,7,17,13,11,20,12
2026-09-15T20:45:00Z,7,1,,10,33,18,40,26,13
2026-09-15T20:46:00Z,7,1,,8,15,10,15,21,13
2026-09-15T20:47:00Z,6,1,,8,25,13,13,21,10
2026-09-15T20:48:00Z,6,1,,7,15,10,9,20,9
2026-09-15T20:49:00Z,6,0,84,7,20,11,10,16,10
2026-09-15T20:50:00Z,6,0,28,10,28,19,15,28,11
2026-09-15T20:51:00Z,6,0,5,7,21,15,11,17,14
2026-09-15T20:52:00Z,6,0,5,30,17,13,11,20,8
2026-09-15T20:53:00Z,6,0,6,7,18,9,10,22,15
2026-09-15T20:54:00Z,6,0,5,7,19,10,9,18,9
2026-09-15T20:55:00Z,6,0,8,11,35,14,17,29,12
