opportunity_id,inspection_id,store_code,store_name,inspection_date,inspection_type_en,inspection_type_cn,module_name,sub_category,issue_description,severity,deduction_points
8674,1956,US00025,221 Grand,2026-03-04,Store food safety self-check,门店自检,Process Control,Material Storage Location Specification,Water inside “direct food contacts” container,G,-2
8676,1956,US00025,221 Grand,2026-03-04,Store food safety self-check,门店自检,Cleaning and Sanitation,Equipment and Food Processing Utensils,Standing water and espresso spillage,G,-2
8677,1956,US00025,221 Grand,2026-03-04,Store food safety self-check,门店自检,Cleaning and Sanitation,Trash Cans,No separation of trash types,G,-2
8678,1956,US00025,221 Grand,2026-03-04,Store food safety self-check,门店自检,Cleaning and Sanitation,Trash Cans,Trash bin overflowing,L,-1
8679,1956,US00025,221 Grand,2026-03-04,Store food safety self-check,门店自检,Process Control,Storage/Maintenance of Utensils,Milk excess spillage,G,-2
8680,1956,US00025,221 Grand,2026-03-04,Store food safety self-check,门店自检,Temperature Control / Expiration Date Management.,Operating Specifications,Opened and partial spillage of materials,G,-2
8685,1959,US00024,15th & 3rd,2026-03-06,Store food safety self-check,门店自检,Document Record,Licenses and certificates,,S,-5
8686,1959,US00024,15th & 3rd,2026-03-06,Store food safety self-check,门店自检,Document Record,Licenses and certificates,,M,-5
8694,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Process Control,Material Storage Location Specification,Storage platform is not 6inches above the ground,G,-2
8695,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Process Control,Material Storage Location Specification,Safe box was not locked,G,-2
8696,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Process Control,Storage/Maintenance of Utensils,stains found throughout store.,G,-2
8706,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Cleaning and Sanitation,Equipment and Food Processing Utensils,Coffee stains found on interior of fridge under hot food section.,G,-2
8707,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Facility,Water Sinks & Pipes,possible leak / scale build up located under rinse sink.,G,-2
8708,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Cleaning and Sanitation,Equipment and Food Processing Utensils,,G,-2
8709,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Temperature Control / Expiration Date Management.,Expiration Date,No open label found on coconut milk below the fridge of juice machine,M,-5
8710,1962,US00027,52nd & Madison,2026-03-09,Store food safety self-check,门店自检,Workplace Safety,Workplace Safety,No inspection signed,G,-2
8697,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Document Record,Licenses and certificates,,S,-5
8698,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Process Control,Cross-Contamination,,G,-2
8699,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Process Control,Storage/Maintenance of Utensils,,G,-2
8700,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Process Control,Storage/Maintenance of Utensils,,G,-2
8701,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Cleaning and Sanitation,Procedures for Cleaning and Disinfection,,M,-5
8702,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Cleaning and Sanitation,Procedures for Cleaning and Disinfection,,M,-5
8703,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Document Record,Licenses and certificates,,M,-5
8704,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Process Control,Cross-Contamination,,G,-2
8705,1963,US00024,15th & 3rd,2026-03-09,Store food safety self-check,门店自检,Chemicals,Chemical Mark/Storage,,S,-5
8711,1966,US00001,8th & Broadway,2026-03-09,Store food safety self-check,门店自检,Maintenance of Equipment,Equipment Inspection and Maintenance,Significant gap found in the display fridge and the counter top.,G,-2
8712,1966,US00001,8th & Broadway,2026-03-09,Store food safety self-check,门店自检,Process Control,Storage/Maintenance of Utensils,Coffee ground found beneath the machine,G,-2
8713,1966,US00001,8th & Broadway,2026-03-09,Store food safety self-check,门店自检,Cleaning and Sanitation,"Operation Stand, Shelf, Cabinet and Water Sink",Stain and water marks on counter top,L,-1
8716,1969,US00020,21st & 3rd,2026-03-10,Store food safety self-check,门店自检,Process Control,Storage/Maintenance of Utensils,"Various sani stains by the oven machine on the countertop.


standing water sughted",G,-2
8717,1969,US00020,21st & 3rd,2026-03-10,Store food safety self-check,门店自检,Process Control,Cross-Contamination,Matcha powder found on can opener,S,-5
