store_code,store_name,status,opening_date,shop_level
US00000,NJ Test Kitchen,Active,2025-05-09,SL02
US00001,8th & Broadway,Active,2025-06-30,SL02
US00002,28th & 6th,Active,2025-06-30,SL02
US00003,100 Maiden Ln,Active,2025-09-09,SL02
US00004,37th & Broadway,Active,2025-11-20,SL02
US00005,54th & 8th,Active,2025-08-24,SL02
US00006,102 Fulton,Active,2025-08-28,SL02
US00007,108th & Broadway,Not Yet Opened,,
US00008,33rd & 10th,Active,2025-12-01,SL02
US00009,48th & 3rd,Not Yet Opened,,
US00010,154 Bleecker,Not Yet Opened,,
US00011,180 Varick,Not Yet Opened,,SL02
US00012,16th & 6th,Active,2026-03-23,SL02
US00013,Grand Central Terminal,Not Yet Opened,,
US00014,25 Park Row,Not Yet Opened,,
US00015,41st & Lexington,Not Yet Opened,,
US00016,Reade & Broadway,Not Yet Opened,,
US00017,63rd & 3rd,Not Yet Opened,,
US00018,40th & 10th,Not Yet Opened,,
US00019,29th & 3rd,Not Yet Opened,,SL02
US00020,21st & 3rd,Active,2026-02-06,SL03
US00021,128 W 32nd St,Not Yet Opened,,
US00022,23rd & 8th,Not Yet Opened,,
US00023,23rd & 1st,Not Yet Opened,,SL02
US00024,15th & 3rd,Active,2025-12-14,SL02
US00025,221 Grand,Active,2025-12-15,SL02
US00026,211 Schermerhorn,Not Yet Opened,,
US00027,52nd & Madison,Active,2026-02-26,SL02
US00028,Jackson Ave - LIC,Not Yet Opened,,
US00029,148 Chambers,Not Yet Opened,,
US00035,35th & 5th,Not Yet Opened,,
