month,inspection_type,inspection_count,stores_covered,avg_score,s_total,m_total,g_total,l_total,total_deduction_items
2026-01,门店自检,7,4,,1,1,17,4,23
2026-01,QA审计,5,5,,6,3,41,16,66
2026-01,区经检查,4,4,,2,4,22,4,32
2026-02,门店自检,5,2,,0,0,0,0,0
2026-02,QA审计,2,2,,2,1,11,7,21
2026-02,区经检查,0,0,,0,0,0,0,0
2026-03,门店自检,13,7,,6,14,41,10,71
2026-03,QA审计,1,1,,1,1,5,0,7
2026-03,区经检查,0,0,,0,0,0,0,0
2026-04,门店自检,32,13,80.2,11,21,131,50,213
2026-04,QA审计,12,12,84.6,2,11,60,12,85
2026-04,区经检查,14,13,80.1,6,6,53,14,79
2026-05,门店自检,49,18,81.3,13,33,185,76,307
2026-05,QA审计,16,16,85.1,5,5,82,11,103
2026-05,区经检查,21,18,82.2,6,13,65,29,113
