"item_id","inspection_id","store_code","store_name","inspection_date","inspection_type","inspector_name","module_name","module_subcategory","clause_number","issue_description","severity","deduction_points","is_appealed_finding"
"9170","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Equipment and utensils","3093","(无描述)","G","-2","0"
"9171","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Equipment and utensils","3092","(无描述)","G","-2","0"
"9172","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Equipment and utensils","3091","(无描述)","G","-2","0"
"9173","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Process Control","Material Storage Location Specification","3067","(无描述)","G","-2","0"
"9174","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Clean & Sanitize","3089","(无描述)","G","-2","0"
"9176","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Facility","Sinks and Pipes","3122","(无描述)","G","-2","0"
"9177","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Pests Control","Pest control devices","3133","(无描述)","G","-2","0"
"9179","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Facility","Good condition","3120","(无描述)","G","-2","0"
"9180","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Employees’ Health and Personal Hygiene","Personal Hygiene","3053","(无描述)","G","-2","0"
"9175","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Customer Area","3100","(无描述)","L","-1","0"
"9178","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Customer Area","3099","(无描述)","L","-1","0"
"9181","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Food Processing Area","3096","(无描述)","L","-1","0"
"9182","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Food Processing Area","3095","(无描述)","L","-1","0"
"9183","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Operation Stand, Shelf, Cabinet and Water Sink","3094","(无描述)","L","-1","0"
"9185","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Customer Area","3102","(无描述)","L","-1","0"
"9184","2051","US00001","8th & Broadway","2026-05-01","门店自检","Huichen Jiang","Cleaning and Sanitation","Waste Management","3104","(无描述)","L","1","0"
"9202","2057","US00001","8th & Broadway","2026-05-06","门店自检","Huichen Jiang","Cleaning and Sanitation","Equipment and utensils","3092","(无描述)","G","-2","0"
"9203","2057","US00001","8th & Broadway","2026-05-06","门店自检","Huichen Jiang","Cleaning and Sanitation","Equipment and utensils","3091","(无描述)","G","-2","0"
"9204","2057","US00001","8th & Broadway","2026-05-06","门店自检","Huichen Jiang","Process Control","Material Storage Location Specification","3067","(无描述)","G","-2","0"
"9205","2057","US00001","8th & Broadway","2026-05-06","门店自检","Huichen Jiang","Cleaning and Sanitation","Customer Area","3100","(无描述)","L","-1","0"
"9206","2057","US00001","8th & Broadway","2026-05-06","门店自检","Huichen Jiang","Cleaning and Sanitation","Food Processing Area","3096","(无描述)","L","-1","0"
"9643","2077","US00001","8th & Broadway","2026-05-12","区经检查","Jung Han Liang","Process Control","Cross-Contamination","3502","Potential hazard for cross contamination ","S","-5","0"
"9638","2077","US00001","8th & Broadway","2026-05-12","区经检查","Jung Han Liang","Facility","Sinks and Pipes","3553","Pile doesn’t match the drains ","G","-2","0"
"9639","2077","US00001","8th & Broadway","2026-05-12","区经检查","Jung Han Liang","Cleaning and Sanitation","Equipment and utensils","3525","Stain of matcha on the pump ","G","-2","0"
"9640","2077","US00001","8th & Broadway","2026-05-12","区经检查","Jung Han Liang","Cleaning and Sanitation","Equipment and utensils","3524","Hair or fiber on ice lid","G","-2","0"
