#,Instance,Class,EngineVersion,vCPU_per_instance,Multi_AZ,Billed_vCPU,Y1_USD_per_month,Y2_USD_per_month,Y3_USD_per_month
1,aws-luckyus-salesmarketing-rw,db.t4g.xlarge,8.0.40,4,Y,8,576.0,576.0,1152.0
2,aws-luckyus-cdpactivity-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
3,aws-luckyus-devops-rw,db.t4g.medium,8.0.45,2,Y,4,288.0,288.0,576.0
4,aws-luckyus-fichargecontrol-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
5,aws-luckyus-fitax-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
6,aws-luckyus-framework01-rw,db.t4g.medium,8.0.45,2,Y,4,288.0,288.0,576.0
7,aws-luckyus-framework02-rw,db.t4g.medium,8.0.45,2,Y,4,288.0,288.0,576.0
8,aws-luckyus-iadmin-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
9,aws-luckyus-ibillingcentersrv-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
10,aws-luckyus-ibizconfigcenter-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
11,aws-luckyus-icyberdata-rw,db.t4g.medium,8.0.45,2,Y,4,288.0,288.0,576.0
12,aws-luckyus-iehr-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
13,aws-luckyus-ifiaccounting-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
14,aws-luckyus-igers-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
15,aws-luckyus-ijumpserver-jumpserver-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
16,aws-luckyus-ilsopdevopsdata-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
17,aws-luckyus-iluckyams-rw,db.t4g.micro,8.0.44,2,Y,4,288.0,288.0,576.0
18,aws-luckyus-iluckyauthapi-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
19,aws-luckyus-iluckydorisops-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
20,aws-luckyus-iluckyhealth-rw,db.t3.small,8.0.45,2,Y,4,288.0,288.0,576.0
21,aws-luckyus-iluckymedia-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
22,aws-luckyus-iopenadmin-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
23,aws-luckyus-iopenlinker-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
24,aws-luckyus-iopenservice-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
25,aws-luckyus-iopocp-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
26,aws-luckyus-iopshopexpand-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
27,aws-luckyus-iotplatform-rw,db.t4g.medium,8.0.45,2,Y,4,288.0,288.0,576.0
28,aws-luckyus-ipermission-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
29,aws-luckyus-ireplenishment-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
30,aws-luckyus-iriskcontrolservice-rw,db.t4g.medium,8.0.45,2,Y,4,288.0,288.0,576.0
31,aws-luckyus-isalescdp-rw,db.t4g.large,8.0.40,2,Y,4,288.0,288.0,576.0
32,aws-luckyus-isalescouponservice-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
33,aws-luckyus-isalesdatamarketing-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
34,aws-luckyus-isalesmembermarketing-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
35,aws-luckyus-isalesprivatedomain-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
36,aws-luckyus-iunifiedreconcile-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
37,aws-luckyus-iworkflowmidlayer-rw,db.t4g.medium,8.0.45,2,Y,4,288.0,288.0,576.0
38,aws-luckyus-ldas-rw,db.t4g.large,8.0.45,2,Y,4,288.0,288.0,576.0
39,aws-luckyus-ldas01-rw,db.t4g.large,8.0.45,2,Y,4,288.0,288.0,576.0
40,aws-luckyus-mfranchise-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
41,aws-luckyus-opempefficiency-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
42,aws-luckyus-oplog-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
43,aws-luckyus-opproduction-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
44,aws-luckyus-opqualitycontrol-rw,db.t4g.micro,8.0.45,2,Y,4,288.0,288.0,576.0
45,aws-luckyus-opshop-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
46,aws-luckyus-opshopsale-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
47,aws-luckyus-pubdm-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
48,aws-luckyus-salescrm-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
49,aws-luckyus-salesorder-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
50,aws-luckyus-salespayment-rw,db.t4g.medium,8.0.40,2,Y,4,288.0,288.0,576.0
51,aws-luckyus-scm-asset-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
52,aws-luckyus-scm-openapi-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
53,aws-luckyus-scm-ordering-rw,db.t4g.micro,8.0.40,2,Y,4,288.0,288.0,576.0
