服务等级,db_instance_identifier,实例简称,当前版本,当前扩展支持状态,分级来源,备注
L0,aws-luckyus-cdpactivity-rw,cdpactivity,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-fitax-rw,fitax,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-ipermission-rw,ipermission,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-iriskcontrolservice-rw,iriskcontrolservice,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-isalescdp-rw,isalescdp,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-isalescouponservice-rw,isalescouponservice,8.4.10,open-source-rds-extended-support-disabled,研发确认,"跟踪表(2)未收录,研发确认 L0(券服务)"
L0,aws-luckyus-isalesprivatedomain-rw,isalesprivatedomain,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-opproduction-rw,opproduction,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-opshop-rw,opshop,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-opshopsale-rw,opshopsale,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-salescrm-rw,salescrm,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-salesmarketing-rw,salesmarketing,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-salesorder-rw,salesorder,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-salespayment-rw,salespayment,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-scm-shopstock-rw,scm-shopstock,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L0,aws-luckyus-scmcommodity-rw,scmcommodity,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-devops-rw,devops,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-framework01-rw,framework01,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-framework02-rw,framework02,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iadmin-rw,iadmin,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-ibehr-rw,ibehr,8.4.9,open-source-rds-extended-support-disabled,研发确认,"跟踪表(2)未收录,研发确认 L1(eHR)"
L1,aws-luckyus-ibillingcentersrv-rw,ibillingcentersrv,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-ibizconfigcenter-rw,ibizconfigcenter,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-icyberdata-rw,icyberdata,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iehr-rw,iehr,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-igers-rw,igers,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-ijumpserver-jumpserver-rw,ijumpserver,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iluckyauthapi-rw,iluckyauthapi,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iluckymedia-rw,iluckymedia,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iopenadmin-rw,iopenadmin,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iopenlinker-rw,iopenlinker,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iopenservice-rw,iopenservice,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iopshopexpand-rw,iopshopexpand,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iotplatform-rw,iotplatform,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-ireplenishment-rw,ireplenishment,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-isalesdatamarketing-rw,isalesdatamarketing,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-isalesmembermarketing-rw,isalesmembermarketing,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iunifiedreconcile-rw,iunifiedreconcile,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-iworkflowmidlayer-rw,iworkflowmidlayer,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-ldas-rw,ldas,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-ldas01-rw,ldas01,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-mfranchise-rw,mfranchise,8.4.10,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-opempefficiency-rw,opempefficiency,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-pubdm-rw,pubdm,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-scm-asset-rw,scm-asset,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-scm-openapi-rw,scm-openapi,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-scm-ordering-rw,scm-ordering,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-scm-plan-rw,scm-plan,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-scm-purchase-rw,scm-purchase,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-scm-wds-rw,scm-wds,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-scmsrm-rw,scmsrm,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L1,aws-luckyus-upush-rw,upush,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-fichargecontrol-rw,fichargecontrol,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-ifiaccounting-rw,ifiaccounting,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-ilsopdevopsdata-rw,ilsopdevopsdata,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-iluckyams-rw,iluckyams,8.4.10,open-source-rds-extended-support-disabled,研发确认,"跟踪表(2)未收录,研发确认 L2"
L2,aws-luckyus-iluckydorisops-rw,iluckydorisops,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-iluckyhealth-rw,iluckyhealth,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-iopocp-rw,iopocp,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-oplog-rw,oplog,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-opqualitycontrol-rw,opqualitycontrol,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
L2,aws-luckyus-scm-wmssimulate-rw,scm-wmssimulate,8.4.9,open-source-rds-extended-support-disabled,跟踪表(2),
