instance_id,instance_class,allocated_gb,used_gb,binary_log_size_gb,free_gb,used_percent,max_gb,can_expand_gb,alert_level
aws-luckyus-icyberdata-rw,db.t4g.medium,635,512.10,465.58,122.90,80.65,1000,365,WARNING
aws-luckyus-salesmarketing-rw,db.t4g.xlarge,100,74.55,13.93,25.45,74.55,1000,900,WARNING
aws-luckyus-iluckyhealth-rw,db.t3.small,50,37.27,0.38,12.73,74.54,1000,950,WARNING
aws-luckyus-upush-rw,db.t4g.medium,40,28.66,1.13,11.34,71.66,1000,960,WARNING
aws-luckyus-upush-rw-old1,db.t4g.medium,40,28.65,1.12,11.35,71.62,1000,960,WARNING
aws-luckyus-iluckyhealth-rw-green-2kiofs,db.t3.small,50,35.58,0.00,14.42,71.16,1000,950,WARNING
aws-luckyus-iluckyhealth-rw-old1,db.t3.small,50,35.49,0.00,14.51,70.99,1000,950,WARNING
aws-luckyus-iriskcontrolservice-rw,db.t4g.medium,40,26.55,0.56,13.45,66.38,1000,960,OK
aws-luckyus-ldas01-rw,db.t4g.large,200,131.95,3.22,68.05,65.97,1000,800,OK
aws-luckyus-upush-rw-green-mjda9r,db.t4g.medium,40,25.94,1.14,14.06,64.85,1000,960,OK
aws-luckyus-ldas01-rw-green-qtbaor,db.t4g.large,200,120.27,0.00,79.73,60.14,1000,800,OK
aws-luckyus-ldas01-rw-old1,db.t4g.large,200,119.88,0.00,80.12,59.94,1000,800,OK
aws-luckyus-cdpactivity-rw,db.t4g.medium,40,22.06,1.52,17.94,55.16,1000,960,OK
aws-luckyus-salesorder-rw,db.t4g.medium,20,10.95,1.12,9.05,54.75,1000,980,OK
aws-luckyus-opproduction-rw,db.t4g.medium,20,9.36,0.83,10.64,46.82,1000,980,OK
aws-luckyus-difynew-rw,db.r5.xlarge,20,8.75,0.00,11.25,43.73,1000,980,OK
aws-luckyus-scm-shopstock-rw,db.t4g.medium,30,12.94,0.87,17.06,43.15,1000,970,OK
aws-luckyus-isalescdp-rw,db.t4g.large,40,14.77,8.14,25.23,36.94,1000,960,OK
aws-luckyus-iopocp-rw,db.t4g.micro,20,7.22,0.05,12.78,36.09,1000,980,OK
