cluster,node,baseline_pct,credit_max,bal_min_14d,bal_last,cpu_util_max,engine_cpu_max
luckyus-ibbcauthbackend-001,cache.t4g.micro,10,288,0.0,288.0,34.9,0.4
luckyus-ibbcauthbackend-002,cache.t4g.micro,10,288,0.0,288.0,34.3,0.4
luckyus-waf-001,cache.t4g.micro,10,288,288.0,288.0,20.5,2.1
luckyus-scm-commodity-001,cache.t4g.micro,10,288,288.0,288.0,18.4,1.0
luckyus-qualitycontrol-001,cache.t4g.micro,10,288,288.0,288.0,18.3,0.4
luckyus-mdm-001,cache.t4g.micro,10,288,287.8,288.0,18.1,0.4
luckyus-ifitax-001,cache.t4g.micro,10,288,287.9,288.0,17.9,0.5
luckyus-scm-commodity-002,cache.t4g.micro,10,288,288.0,288.0,17.8,0.5
luckyus-ilkm-001,cache.t4g.micro,10,288,288.0,288.0,17.7,1.9
luckyus-isales-commodity-001,cache.t4g.medium,20,576,576.0,576.0,17.5,1.6
luckyus-qualitycontrol-002,cache.t4g.micro,10,288,287.9,288.0,17.3,0.4
luckyus-onepiece-002,cache.t4g.micro,10,288,288.0,288.0,17.3,0.4
luckyus-billcenterservice-001,cache.t4g.micro,10,288,288.0,288.0,17.1,1.0
luckyus-isales-marketcapi-001,cache.t4g.micro,10,288,288.0,288.0,17.1,1.5
luckyus-shopsale-002,cache.t4g.micro,10,288,288.0,288.0,17.1,0.9
luckyus-isales-crm-001,cache.t4g.micro,10,288,288.0,288.0,17.0,4.0
luckyus-imessageflow-002,cache.t4g.micro,10,288,288.0,288.0,16.9,0.4
luckyus-scm-ordering-001,cache.t4g.micro,10,288,287.9,288.0,16.9,0.7
luckyus-daq-002,cache.t4g.micro,10,288,287.9,288.0,16.9,0.4
luckyus-iriskcontrol-002,cache.t4g.micro,10,288,288.0,288.0,16.7,0.6
luckyus-igers-002,cache.t4g.micro,10,288,288.0,288.0,16.5,0.4
luckyus-igers-001,cache.t4g.micro,10,288,288.0,288.0,16.4,0.5
luckyus-iriskcontrol-001,cache.t4g.micro,10,288,287.9,288.0,16.4,1.9
luckyus-chronus-001,cache.t4g.micro,10,288,288.0,288.0,16.3,0.5
luckyus-isales-tradecapi-002,cache.t4g.micro,10,288,288.0,288.0,16.2,0.7
luckyus-aapi-unionauth-001,cache.t4g.micro,10,288,288.0,288.0,16.1,1.3
luckyus-chronus-002,cache.t4g.micro,10,288,288.0,288.0,16.1,0.4
luckyus-sapi-unionauth-001,cache.t4g.micro,10,288,287.9,288.0,16.0,1.0
luckyus-imessageflow-001,cache.t4g.micro,10,288,287.9,288.0,15.9,0.5
luckyus-sapi-unionauth-002,cache.t4g.micro,10,288,288.0,288.0,15.9,0.6
luckyus-ifitax-002,cache.t4g.micro,10,288,288.0,288.0,15.9,0.4
luckyus-ifiaccounting-001,cache.t4g.micro,10,288,288.0,288.0,15.8,1.0
luckyus-ifiaccounting-002,cache.t4g.micro,10,288,288.0,288.0,15.6,0.8
luckyus-iopenauth-001,cache.t4g.micro,10,288,288.0,288.0,15.5,2.4
luckyus-aapi-unionauth-002,cache.t4g.micro,10,288,288.0,288.0,15.3,1.1
luckyus-scm-wds-002,cache.t4g.micro,10,288,288.0,288.0,15.2,0.4
luckyus-isales-crm-002,cache.t4g.micro,10,288,288.0,288.0,15.0,8.3
luckyus-iupush-001,cache.t4g.micro,10,288,288.0,288.0,14.9,7.3
luckyus-scm-purchase-003,cache.t4g.micro,10,288,0.3,288.0,14.9,0.5
luckyus-isales-session-001,cache.t4g.micro,10,288,287.8,288.0,14.8,8.5
luckyus-web-001,cache.t4g.medium,20,576,576.0,576.0,14.8,1.1
luckyus-bigdata-dataplatform-001,cache.t4g.small,20,576,576.0,576.0,14.7,0.5
