node,type,min_credit,cap,min_pct,cur_credit,peak_engineCPU,peak_CPU,risk
luckyus-ibbcauthbackend-001,cache.t4g.micro,0.0,288,0.0,288.0,0.4,34.9,🔴 HIGH
luckyus-ibbcauthbackend-002,cache.t4g.micro,0.0,288,0.0,288.0,0.4,34.3,🔴 HIGH
luckyus-scm-purchase-003,cache.t4g.micro,0.3,288,0.1,288.0,0.5,14.9,🔴 HIGH
luckyus-isales-marketcapi-002,cache.t4g.micro,287.8,288,99.9,288.0,0.7,13.1,🟢 LOW
luckyus-isales-session-001,cache.t4g.micro,287.8,288,99.9,288.0,8.5,14.8,🟢 LOW
luckyus-mdm-001,cache.t4g.micro,287.8,288,99.9,288.0,0.4,18.1,🟢 LOW
luckyus-aapi-unionauth-001,cache.t4g.micro,288.0,288,100.0,288.0,1.3,16.1,🟢 LOW
luckyus-aapi-unionauth-002,cache.t4g.micro,288.0,288,100.0,288.0,1.1,15.3,🟢 LOW
luckyus-apigateway-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.5,🟢 LOW
luckyus-apigateway-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.5,🟢 LOW
luckyus-auth-001,cache.t3.micro,288.0,288,100.0,288.0,0.4,9.3,🟢 LOW
luckyus-auth-002,cache.t3.micro,288.0,288,100.0,288.0,0.5,9.6,🟢 LOW
luckyus-authservice-001,cache.t3.micro,288.0,288,100.0,288.0,0.6,9.7,🟢 LOW
luckyus-authservice-002,cache.t3.micro,288.0,288,100.0,288.0,0.4,9.1,🟢 LOW
luckyus-bigdata-cyberdata-001,cache.t4g.small,576.0,576,100.0,576.0,2.7,12.5,🟢 LOW
luckyus-bigdata-cyberdata-002,cache.t4g.small,576.0,576,100.0,576.0,2.0,11.4,🟢 LOW
luckyus-bigdata-dataplatform-001,cache.t4g.small,576.0,576,100.0,576.0,0.5,14.7,🟢 LOW
luckyus-bigdata-dataplatform-002,cache.t4g.small,576.0,576,100.0,576.0,0.5,10.6,🟢 LOW
luckyus-billcenterservice-001,cache.t4g.micro,288.0,288,100.0,288.0,1.0,17.1,🟢 LOW
luckyus-billcenterservice-002,cache.t4g.micro,288.0,288,100.0,288.0,0.7,14.3,🟢 LOW
luckyus-chronus-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,16.3,🟢 LOW
luckyus-chronus-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,16.1,🟢 LOW
luckyus-cmdb-001,cache.t3.micro,288.0,288,100.0,288.0,1.1,9.7,🟢 LOW
luckyus-cmdb-002,cache.t3.micro,288.0,288,100.0,288.0,0.5,9.4,🟢 LOW
luckyus-daq-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,14.6,🟢 LOW
luckyus-daq-002,cache.t4g.micro,287.9,288,100.0,288.0,0.4,16.9,🟢 LOW
luckyus-devops-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,12.7,🟢 LOW
luckyus-devops-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.0,🟢 LOW
luckyus-empefficiency-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.7,🟢 LOW
luckyus-empefficiency-002,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.0,🟢 LOW
luckyus-franchise-001,cache.t4g.small,576.0,576,100.0,576.0,0.4,10.6,🟢 LOW
luckyus-franchise-002,cache.t4g.small,576.0,576,100.0,576.0,0.4,10.6,🟢 LOW
luckyus-iadmin-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.4,🟢 LOW
luckyus-iadmin-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,13.0,🟢 LOW
luckyus-ibizconfigcenter-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,13.0,🟢 LOW
luckyus-ibizconfigcenter-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.4,🟢 LOW
luckyus-iehr-001,cache.t4g.small,576.0,576,100.0,576.0,0.7,10.6,🟢 LOW
luckyus-iehr-002,cache.t4g.small,576.0,576,100.0,576.0,0.4,10.4,🟢 LOW
