store_code,schedule_date,total_hours,employees_scheduled,ft_count,pt_count,first_slot,last_slot
US00000,2026-06-08,0.00,0,0,0,,
US00000,2026-06-09,0.00,0,0,0,,
US00000,2026-06-10,0.00,0,0,0,,
US00000,2026-06-11,0.00,0,0,0,,
US00000,2026-06-12,0.00,0,0,0,,
US00000,2026-06-13,0.00,0,0,0,,
US00000,2026-06-14,0.00,0,0,0,,
US00001,2026-06-08,50.00,7,5,2,06:00,22:00
US00001,2026-06-09,45.50,6,5,1,06:00,22:00
US00001,2026-06-10,51.50,7,6,1,06:00,22:00
US00001,2026-06-11,53.25,7,6,1,06:00,22:00
US00001,2026-06-12,50.00,7,5,2,06:00,22:00
US00001,2026-06-13,45.75,6,5,1,06:00,22:00
US00001,2026-06-14,50.50,7,6,1,06:00,22:00
US00002,2026-06-08,44.50,6,4,2,06:00,21:30
US00002,2026-06-09,51.25,7,4,3,06:00,21:30
US00002,2026-06-10,53.25,7,6,1,06:00,21:30
US00002,2026-06-11,59.50,8,7,1,06:00,21:30
US00002,2026-06-12,52.50,7,6,1,06:00,21:30
US00002,2026-06-13,44.00,6,4,2,06:00,21:30
US00002,2026-06-14,30.00,4,3,1,06:00,21:30
US00003,2026-06-08,45.00,7,6,1,06:00,21:30
US00003,2026-06-09,43.50,6,6,0,06:00,21:30
US00003,2026-06-10,63.25,9,8,1,06:00,21:30
US00003,2026-06-11,57.00,8,7,1,06:00,21:30
US00003,2026-06-12,43.50,6,6,0,06:00,21:30
US00003,2026-06-13,36.25,5,5,0,06:00,19:30
US00003,2026-06-14,36.50,5,5,0,06:00,19:30
US00004,2026-06-08,55.00,8,8,0,06:00,21:30
US00004,2026-06-09,55.00,8,8,0,06:00,21:30
US00004,2026-06-10,55.00,8,8,0,06:00,21:30
US00004,2026-06-11,55.00,8,8,0,06:00,21:30
US00004,2026-06-12,50.00,7,7,0,06:00,21:30
US00004,2026-06-13,39.50,5,5,0,06:00,21:30
US00004,2026-06-14,36.00,5,5,0,06:00,21:30
US00005,2026-06-08,52.25,8,8,0,06:00,21:30
US00005,2026-06-09,51.00,7,7,0,06:00,21:30
US00005,2026-06-10,50.00,7,7,0,06:00,21:30
US00005,2026-06-11,57.00,8,8,0,06:00,21:30
US00005,2026-06-12,58.25,8,8,0,06:00,21:30
US00005,2026-06-13,51.00,7,7,0,06:00,21:30
US00005,2026-06-14,58.25,8,8,0,06:00,21:30
US00006,2026-06-08,61.50,8,8,0,06:00,21:30
US00006,2026-06-09,61.50,8,8,0,06:00,21:30
US00006,2026-06-10,52.25,7,7,0,06:00,21:30
US00006,2026-06-11,46.25,6,6,0,06:00,21:30
US00006,2026-06-12,69.50,9,9,0,06:00,21:30
US00006,2026-06-13,53.50,7,7,0,06:00,20:00
US00006,2026-06-14,45.75,6,6,0,06:00,20:00
US00007,2026-06-08,76.25,10,9,1,06:00,22:30
US00007,2026-06-09,68.50,9,8,1,06:00,22:30
US00007,2026-06-10,67.00,9,8,1,06:00,22:30
US00007,2026-06-11,54.50,7,7,0,06:00,22:30
US00007,2026-06-12,61.00,8,7,1,06:00,22:30
US00007,2026-06-13,68.50,9,8,1,06:00,22:30
US00007,2026-06-14,62.50,8,8,0,06:00,22:30
US00008,2026-06-08,63.50,9,8,1,06:00,21:00
US00008,2026-06-09,76.00,10,10,0,06:00,21:30
US00008,2026-06-10,80.50,11,11,0,06:00,21:30
US00008,2026-06-11,60.25,8,8,0,06:00,21:30
US00008,2026-06-12,58.25,8,8,0,06:00,21:30
US00008,2026-06-13,50.99,7,5,2,06:00,20:00
US00008,2026-06-14,35.50,5,3,2,06:00,20:00
US00010,2026-06-08,54.25,7,7,0,06:00,22:30
US00010,2026-06-09,50.00,7,7,0,06:00,22:30
US00010,2026-06-10,61.75,8,8,0,06:00,22:30
US00010,2026-06-11,54.25,7,7,0,06:00,22:30
US00010,2026-06-12,54.25,7,7,0,06:00,22:30
US00010,2026-06-13,54.25,7,7,0,06:00,22:30
US00010,2026-06-14,53.00,7,6,1,06:00,22:30
US00012,2026-06-08,45.50,6,5,1,06:00,22:30
US00012,2026-06-09,43.50,6,4,2,06:00,22:30
US00012,2026-06-10,57.00,8,7,1,06:00,22:30
US00012,2026-06-11,51.25,7,5,2,06:00,22:30
US00012,2026-06-12,54.25,7,7,0,06:00,22:30
US00012,2026-06-13,46.50,6,6,0,06:00,22:30
US00012,2026-06-14,45.50,6,5,1,06:00,22:30
US00015,2026-06-08,53.75,8,8,0,06:00,22:00
US00015,2026-06-09,50.75,7,7,0,06:00,22:00
US00015,2026-06-10,50.75,7,7,0,06:00,22:00
US00015,2026-06-11,56.00,8,8,0,06:00,22:00
US00015,2026-06-12,56.00,8,8,0,06:00,22:00
US00015,2026-06-13,43.50,6,6,0,06:00,22:00
US00015,2026-06-14,35.50,5,5,0,06:00,22:00
US00018,2026-06-08,45.75,6,5,1,06:00,22:30
US00018,2026-06-09,43.75,6,3,3,06:00,22:30
US00018,2026-06-10,51.00,7,5,2,06:00,22:30
US00018,2026-06-11,44.75,6,4,2,06:00,22:30
US00018,2026-06-12,46.50,6,6,0,06:00,22:30
US00018,2026-06-13,46.00,6,5,1,06:00,22:30
US00018,2026-06-14,45.67,6,5,1,06:00,22:30
US00019,2026-06-08,61.00,9,8,1,06:00,22:00
US00019,2026-06-09,56.50,9,9,0,06:00,22:00
US00019,2026-06-10,63.50,9,8,1,06:00,22:00
US00019,2026-06-11,50.00,7,6,1,06:00,22:00
US00019,2026-06-12,52.25,7,7,0,06:00,22:00
US00019,2026-06-13,43.25,6,5,1,06:00,22:00
US00019,2026-06-14,50.00,7,6,1,06:00,22:00
US00020,2026-06-08,53.42,7,6,1,06:00,22:30
US00020,2026-06-09,61.75,8,7,1,06:00,22:30
US00020,2026-06-10,54.25,7,7,0,06:00,22:30
US00020,2026-06-11,67.75,9,7,2,06:00,22:30
US00020,2026-06-12,61.75,8,7,1,06:00,22:30
US00020,2026-06-13,53.25,7,6,1,06:00,22:30
US00020,2026-06-14,45.50,6,5,1,06:00,22:30
US00022,2026-06-08,46.25,6,6,0,06:00,22:30
US00022,2026-06-09,54.00,7,7,0,06:00,22:30
US00022,2026-06-10,52.75,7,7,0,06:00,22:30
US00022,2026-06-11,46.50,6,6,0,06:00,22:30
US00022,2026-06-12,61.75,8,8,0,06:00,22:30
US00022,2026-06-13,54.50,7,7,0,06:00,22:30
US00022,2026-06-14,31.00,4,4,0,06:00,22:30
US00024,2026-06-08,44.50,6,6,0,06:00,19:30
US00024,2026-06-09,45.75,6,6,0,06:00,19:30
US00024,2026-06-10,52.00,7,7,0,06:00,19:30
US00024,2026-06-11,46.50,6,6,0,06:00,19:30
US00024,2026-06-12,52.25,7,7,0,06:00,19:30
US00024,2026-06-13,37.75,5,5,0,06:00,19:30
US00024,2026-06-14,38.75,5,5,0,06:00,19:30
US00025,2026-06-08,52.75,8,7,1,06:00,22:00
US00025,2026-06-09,53.25,7,6,1,06:00,22:30
US00025,2026-06-10,46.50,6,6,0,06:00,22:30
US00025,2026-06-11,46.00,6,6,0,06:00,22:30
US00025,2026-06-12,47.00,7,7,0,06:00,22:00
US00025,2026-06-13,56.50,8,7,1,06:00,22:00
US00025,2026-06-14,46.50,6,5,1,06:00,22:30
US00027,2026-06-08,52.25,7,6,1,06:00,22:30
US00027,2026-06-09,54.00,7,7,0,06:00,22:30
US00027,2026-06-10,58.75,8,7,1,06:00,22:30
US00027,2026-06-11,54.00,7,7,0,06:00,22:30
US00027,2026-06-12,52.00,7,6,1,06:00,22:30
US00027,2026-06-13,39.25,5,5,0,06:00,22:30
US00027,2026-06-14,39.25,5,5,0,06:00,22:30
US99998,2026-06-08,0.00,0,0,0,,
US99998,2026-06-09,0.00,0,0,0,,
US99998,2026-06-10,0.00,0,0,0,,
US99998,2026-06-11,0.00,0,0,0,,
US99998,2026-06-12,0.00,0,0,0,,
US99998,2026-06-13,0.00,0,0,0,,
US99998,2026-06-14,0.00,0,0,0,,
US99999,2026-06-08,0.00,0,0,0,,
US99999,2026-06-09,0.00,0,0,0,,
US99999,2026-06-10,0.00,0,0,0,,
US99999,2026-06-11,0.00,0,0,0,,
US99999,2026-06-12,0.00,0,0,0,,
US99999,2026-06-13,0.00,0,0,0,,
US99999,2026-06-14,0.00,0,0,0,,
