instance_hostname	database_name	current_version	size_gb	table_count
aws-luckyus-cdpactivity-rw	luckyus_cdp_activity	8.0.40	15.16	36
aws-luckyus-cdpactivity-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-dbatest-rw	test	8.0.45	0.01	2
aws-luckyus-dbatest-rw	backup_tables	8.0.45	0.00	0
aws-luckyus-devops-rw	luckyus_auth	8.0.40	0.00	36
aws-luckyus-devops-rw	luckyus_authservice	8.0.40	0.02	18
aws-luckyus-devops-rw	luckyus_uam	8.0.40	0.00	6
aws-luckyus-devops-rw	luckyus_izeus	8.0.40	0.13	78
aws-luckyus-devops-rw	luckyus_umbgrafana	8.0.40	0.05	82
aws-luckyus-devops-rw	luckyus_iluckyptsweb	8.0.40	0.04	32
aws-luckyus-devops-rw	luckyus_ilopamanager	8.0.40	0.01	24
aws-luckyus-devops-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-fichargecontrol-rw	luckyus_fi_chargecontrol	8.0.40	0.04	33
aws-luckyus-fichargecontrol-rw	backup_tables	8.0.40	0.00	7
aws-luckyus-fitax-rw	luckyus_fi_tax	8.0.40	0.00	13
aws-luckyus-fitax-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-framework01-rw	luckyus_bsportal	8.0.40	0.01	10
aws-luckyus-framework01-rw	luckyus_gaea	8.0.40	0.10	27
aws-luckyus-framework01-rw	luckyus_horae	8.0.40	0.00	4
aws-luckyus-framework01-rw	luckyus_isentineldashboard	8.0.40	0.00	8
aws-luckyus-framework01-rw	luckyus_kbx	8.0.40	0.03	55
aws-luckyus-framework01-rw	luckyus_lcp_apiserver	8.0.40	0.00	16
aws-luckyus-framework01-rw	luckyus_lcp_noahusercenter	8.0.40	0.00	10
aws-luckyus-framework01-rw	luckyus_nacos	8.0.40	0.00	12
aws-luckyus-framework01-rw	luckyus_sddl_platform	8.0.40	0.00	59
aws-luckyus-framework01-rw	luckyus_zkdoctor	8.0.40	0.05	44
aws-luckyus-framework01-rw	luckyus_koalaadmin	8.0.40	0.00	13
aws-luckyus-framework01-rw	luckyus_iluckyenvsystemweb	8.0.40	0.10	27
aws-luckyus-framework01-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-framework02-rw	luckyus_ilkm	8.0.40	0.00	13
aws-luckyus-framework02-rw	luckyus_chronusconsole	8.0.40	0.01	52
aws-luckyus-framework02-rw	luckyus_onepiececonsole	8.0.40	3.01	13
aws-luckyus-framework02-rw	luckyus_ihmonitorconsole	8.0.40	0.00	33
aws-luckyus-framework02-rw	luckyus_datalink	8.0.40	0.09	82
aws-luckyus-framework02-rw	luckyus_iluckyflowadmin	8.0.40	0.20	104
aws-luckyus-framework02-rw	luckyus_src	8.0.40	0.00	1
aws-luckyus-framework02-rw	luckyus_target	8.0.40	0.00	1
aws-luckyus-framework02-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iadmin-rw	luckyus_iadmin	8.0.40	0.08	23
aws-luckyus-iadmin-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-ibillingcentersrv-rw	luckyus_ibillingcenterservice	8.0.40	1.22	13
aws-luckyus-ibillingcentersrv-rw	backup_tables	8.0.40	0.00	1
aws-luckyus-ibizconfigcenter-rw	luckyus_ibizconfigcenter	8.0.40	0.02	9
aws-luckyus-ibizconfigcenter-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-icyberdata-rw	luckyus_icyberdata	8.0.40	23.36	440
aws-luckyus-icyberdata-rw	luckyus_icyberdata_user	8.0.40	0.00	12
aws-luckyus-icyberdata-rw	luckyus_icyberdata_nacos	8.0.40	0.00	12
aws-luckyus-icyberdata-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iehr-rw	luckyus_iehr	8.0.40	0.02	56
aws-luckyus-iehr-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-ifiaccounting-rw	luckyus_ifiaccounting	8.0.40	0.23	83
aws-luckyus-ifiaccounting-rw	backup_tables	8.0.40	0.00	1
aws-luckyus-igers-rw	luckyus_igers	8.0.40	0.00	5
aws-luckyus-igers-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-ijumpserver-jumpserver-rw	luckyus_ijumpserver_jumpserver	8.0.40	0.11	168
aws-luckyus-ijumpserver-jumpserver-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iluckyams-rw	luckyus_iluckyams	8.0.44	0.00	10
aws-luckyus-iluckyams-rw	backup_tables	8.0.44	0.00	0
aws-luckyus-iluckyauthapi-rw	luckyus_iluckyauthapi	8.0.40	0.00	1
aws-luckyus-iluckyauthapi-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iluckydorisops-rw	luckyus_iluckydorisops	8.0.40	0.00	3
aws-luckyus-iluckydorisops-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iluckyhealth-rw	luckyus_iluckyhealth	8.0.40	29.44	15
aws-luckyus-iluckyhealth-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iluckymedia-rw	luckyus_iluckymedia	8.0.40	0.00	5
aws-luckyus-iluckymedia-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iopenadmin-rw	luckyus_iopenadmin	8.0.40	0.00	16
aws-luckyus-iopenadmin-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iopenlinker-rw	luckyus_iopenlinker	8.0.40	0.09	14
aws-luckyus-iopenlinker-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iopenservice-rw	luckyus_iopenservice	8.0.40	0.00	1
aws-luckyus-iopenservice-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iopocp-rw	luckyus_iopocp	8.0.40	1.64	9
aws-luckyus-iopocp-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iopshopexpand-rw	luckyus_iopshopexpand	8.0.40	0.00	10
aws-luckyus-iopshopexpand-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iotplatform-rw	luckyus_iot_platform	8.0.40	0.53	93
aws-luckyus-iotplatform-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-ipermission-rw	luckyus_ipermission	8.0.40	0.08	31
aws-luckyus-ipermission-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-ireplenishment-rw	luckyus_ireplenishment	8.0.40	1.29	7
aws-luckyus-ireplenishment-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iriskcontrolservice-rw	luckyus_iriskcontrolservice	8.0.40	18.84	157
aws-luckyus-iriskcontrolservice-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-isalescdp-rw	luckyus_isales_cdp	8.0.40	1.60	4
aws-luckyus-isalescdp-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-isalesdatamarketing-rw	luckyus_isalesdatamarketing	8.0.40	7.40	26
aws-luckyus-isalesdatamarketing-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-isalesmembermarketing-rw	luckyus_isalesmembermarketing	8.0.40	0.00	24
aws-luckyus-isalesmembermarketing-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-isalesprivatedomain-rw	luckyus_isales_privatedomain	8.0.40	1.85	25
aws-luckyus-isalesprivatedomain-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iunifiedreconcile-rw	luckyus_iunifiedreconcile	8.0.40	0.00	11
aws-luckyus-iunifiedreconcile-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-iworkflowmidlayer-rw	luckyus_iworkflowmidlayer	8.0.40	5.49	26
aws-luckyus-iworkflowmidlayer-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-ldas-rw	luckyus_ldas_nacos	8.0.40	0.00	12
aws-luckyus-ldas-rw	luckyus_ldas_cmdb	8.0.40	0.00	28
aws-luckyus-ldas-rw	luckyus_dbmsdbsearch	8.0.40	0.04	3
aws-luckyus-ldas-rw	luckyus_ozono	8.0.40	0.00	8
aws-luckyus-ldas-rw	luckyus_apigatewayadmin	8.0.40	0.25	17
aws-luckyus-ldas-rw	luckyus_ikafadmin	8.0.40	1.26	44
aws-luckyus-ldas-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-ldas01-rw	luckyus_db_collection	8.0.41	89.73	64
aws-luckyus-ldas01-rw	luckyus_ldas_slowquery	8.0.41	10.70	2
aws-luckyus-ldas01-rw	backup_tables	8.0.41	0.00	0
aws-luckyus-mfranchise-rw	luckyus_mfranchise	8.0.40	0.00	69
aws-luckyus-mfranchise-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-opempefficiency-rw	luckyus_opempefficiency	8.0.40	0.09	33
aws-luckyus-opempefficiency-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-oplog-rw	luckyus_oplog	8.0.40	0.00	1
aws-luckyus-oplog-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-opproduction-rw	luckyus_opproduction	8.0.40	4.30	14
aws-luckyus-opproduction-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-opqualitycontrol-rw	luckyus_opqualitycontrol	8.0.40	0.56	44
aws-luckyus-opqualitycontrol-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-opshop-rw	luckyus_opshop	8.0.40	0.03	34
aws-luckyus-opshop-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-opshopsale-rw	luckyus_opshopsale	8.0.40	0.27	23
aws-luckyus-opshopsale-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-pubdm-rw	luckyus_pub_dm	8.0.40	0.01	67
aws-luckyus-pubdm-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-salescrm-rw	luckyus_sales_crm	8.0.40	0.53	29
aws-luckyus-salescrm-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-salesmarketing-rw	luckyus_sales_marketing	8.0.40	46.14	171
aws-luckyus-salesmarketing-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-salesorder-rw	luckyus_sales_order	8.0.40	4.84	40
aws-luckyus-salesorder-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-salespayment-rw	luckyus_sales_payment	8.0.40	0.60	28
aws-luckyus-salespayment-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scm-asset-rw	luckyus_scm_asset	8.0.40	0.02	146
aws-luckyus-scm-asset-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scm-openapi-rw	luckyus_scm_openapi	8.0.40	0.15	22
aws-luckyus-scm-openapi-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scm-ordering-rw	luckyus_scm_ordering	8.0.40	0.31	107
aws-luckyus-scm-ordering-rw	backup_tables	8.0.40	0.00	1
aws-luckyus-scm-plan-rw	luckyus_scm_plan	8.0.40	0.00	40
aws-luckyus-scm-plan-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scm-purchase-rw	luckyus_scm_purchase	8.0.40	0.14	159
aws-luckyus-scm-purchase-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scm-shopstock-rw	luckyus_scm_shopstock	8.0.40	6.52	192
aws-luckyus-scm-shopstock-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scm-wds-rw	luckyus_scm_wds	8.0.40	0.16	157
aws-luckyus-scm-wds-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scm-wmssimulate-rw	luckyus_scm_wmssimulate	8.0.40	0.03	86
aws-luckyus-scm-wmssimulate-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scmcommodity-rw	luckyus_scm_commodity	8.0.40	0.17	143
aws-luckyus-scmcommodity-rw	backup_tables	8.0.40	0.00	0
aws-luckyus-scmsrm-rw	luckyus_scm_srm	8.0.40	0.11	132
aws-luckyus-scmsrm-rw	backup_tables	8.0.40	0.00	2
aws-luckyus-upush-rw	luckyus_imdmext	8.0.40	0.00	21
aws-luckyus-upush-rw	luckyus_iupushadmin	8.0.40	0.00	7
aws-luckyus-upush-rw	luckyus_iupushaid	8.0.40	0.11	24
aws-luckyus-upush-rw	luckyus_iupushapp	8.0.40	10.64	33
aws-luckyus-upush-rw	luckyus_iupushemail	8.0.40	0.44	7
aws-luckyus-upush-rw	luckyus_iupushsms	8.0.40	5.21	89
aws-luckyus-upush-rw	luckyus_iupushusercenter	8.0.40	0.15	4
aws-luckyus-upush-rw	luckyus_mdm	8.0.40	0.01	364
aws-luckyus-upush-rw	luckyus_mdmadmin	8.0.40	1.49	316
aws-luckyus-upush-rw	backup_tables	8.0.40	0.00	0
